sku_id,product_name,category,forecast_week_num,horizon_step,forecast_week_date,baseline_naive_forecast,ml_demand_forecast,projected_revenue_inr,unit_cost_inr,unit_selling_price_inr,is_promo_planned,is_holiday_planned
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,105,1,2025-12-29,169.9,207.8,124472.2,420.0,599.0,0,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,105,1,2025-12-29,261.3,286.7,124714.5,310.0,435.0,0,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,105,1,2025-12-29,181.8,193.4,37713.0,135.0,195.0,0,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,105,1,2025-12-29,141.0,154.5,42487.5,190.0,275.0,0,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,105,1,2025-12-29,225.9,203.4,50646.6,180.0,249.0,0,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,105,1,2025-12-29,162.9,143.3,51588.0,240.0,360.0,0,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,105,1,2025-12-29,154.7,184.4,88512.0,320.0,480.0,0,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,105,1,2025-12-29,82.5,101.0,55449.0,360.0,549.0,0,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,105,1,2025-12-29,123.9,120.6,26532.0,140.0,220.0,0,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,105,1,2025-12-29,152.8,203.9,17331.5,45.0,85.0,0,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,105,1,2025-12-29,80.8,90.3,28444.5,210.0,315.0,0,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,105,1,2025-12-29,171.1,198.4,83328.0,280.0,420.0,0,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,105,1,2025-12-29,206.9,231.4,43734.6,115.0,189.0,0,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,105,1,2025-12-29,71.1,131.9,46033.1,220.0,349.0,0,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,105,1,2025-12-29,285.2,218.4,21621.6,60.0,99.0,0,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,105,1,2025-12-29,69.7,59.6,35700.4,390.0,599.0,0,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,105,1,2025-12-29,185.7,170.3,13624.0,50.0,80.0,0,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,105,1,2025-12-29,43.6,65.4,28776.0,290.0,440.0,0,0
