week_num,event_name,demand_multiplier,applicable_categories
3,Republic Day Mega Sale,1.25,all
11,Holi Festival,1.3,Beverages & Dairy|Snacks & Packaged Foods
18,Summer Peak Kickoff,1.35,Beverages & Dairy|Personal Care
28,Monsoon Wellness Drive,1.2,Personal Care|Household Essentials
33,Independence Day Freedom Sale,1.3,all
41,Dussehra Festive Prep,1.4,all
44,Diwali Grand Festival,1.85,all
51,Christmas & Year-End Cleansing,1.25,all
55,Republic Day 2025 Super Deal,1.25,all
63,Holi 2025,1.3,Beverages & Dairy|Snacks & Packaged Foods
70,Summer Heatwave Promo,1.35,Beverages & Dairy|Personal Care
80,Monsoon Mega Saver,1.2,Personal Care|Household Essentials
85,Independence Day Big Sale,1.3,all
93,Dussehra Mega Week,1.45,all
96,Diwali Mega Dhamaka 2025,1.9,all
103,Year-End Grand Clearance,1.3,all
