sku_id,product_name,category,on_hand_inventory,on_order_inventory,lead_time_weeks,safety_stock_units,reorder_point_units,minimum_order_qty,as_of_date
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,95,0,2,50,330,50,2025-12-29
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,1250,200,2,59,479,60,2025-12-29
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,110,50,3,83,563,40,2025-12-29
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,720,100,2,47,297,40,2025-12-29
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,2600,0,1,41,216,50,2025-12-29
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,260,30,2,45,235,30,2025-12-29
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,270,0,2,57,277,35,2025-12-29
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,40,0,3,66,261,25,2025-12-29
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,1400,0,2,85,245,30,2025-12-29
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,75,0,2,85,345,60,2025-12-29
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,450,0,2,41,181,20,2025-12-29
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,680,100,1,57,172,40,2025-12-29
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,85,50,2,88,388,50,2025-12-29
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,240,0,3,73,328,30,2025-12-29
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,2400,100,2,85,445,60,2025-12-29
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,120,50,1,49,94,20,2025-12-29
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,820,0,2,59,339,40,2025-12-29
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,380,50,2,45,165,25,2025-12-29
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,620,80,2,50,260,40,2025-12-29
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,80,0,2,62,302,45,2025-12-29
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,250,0,3,103,373,30,2025-12-29
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,1950,0,1,42,182,50,2025-12-29
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,820,0,3,49,169,20,2025-12-29
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,210,0,2,49,209,30,2025-12-29
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,790,100,2,46,306,40,2025-12-29
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,115,0,2,54,384,50,2025-12-29
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,1700,0,2,62,282,35,2025-12-29
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,860,0,1,39,184,50,2025-12-29
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,980,120,2,52,392,50,2025-12-29
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,1500,0,2,85,275,30,2025-12-29
