week_start_date,week_num,sku_id,product_name,category,units_sold,revenue_inr,is_promo,discount_pct,is_holiday_week,holiday_name,historical_stockout_days
2024-01-01,1,SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,139,83261.0,0,0.00,0,None,0
2024-01-01,1,SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,209,90915.0,0,0.00,0,None,0
2024-01-01,1,SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,159,31005.0,0,0.00,0,None,0
2024-01-01,1,SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,97,26675.0,0,0.00,0,None,0
2024-01-01,1,SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,172,42828.0,0,0.00,0,None,0
2024-01-01,1,SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,99,35640.0,0,0.00,0,None,0
2024-01-01,1,SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,128,61440.0,0,0.00,0,None,0
2024-01-01,1,SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,69,37881.0,0,0.00,0,None,0
2024-01-01,1,SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,90,19800.0,0,0.00,0,None,0
2024-01-01,1,SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,181,15385.0,0,0.00,0,None,2
2024-01-01,1,SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,66,20790.0,0,0.00,0,None,0
2024-01-01,1,SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,87,36540.0,0,0.00,0,None,0
2024-01-01,1,SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,144,27216.0,0,0.00,0,None,0
2024-01-01,1,SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,96,33504.0,0,0.00,0,None,0
2024-01-01,1,SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,130,12870.0,0,0.00,0,None,0
2024-01-01,1,SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,13,7787.0,0,0.00,0,None,0
2024-01-01,1,SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,217,14756.0,1,0.15,0,None,0
2024-01-01,1,SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,75,28050.0,1,0.15,0,None,0
2024-01-01,1,SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,76,22724.0,0,0.00,0,None,0
2024-01-01,1,SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,112,19992.0,1,0.15,0,None,0
2024-01-01,1,SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,117,52533.0,0,0.00,0,None,0
2024-01-01,1,SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,148,13172.0,0,0.00,0,None,0
2024-01-01,1,SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,41,11685.0,0,0.00,0,None,0
2024-01-01,1,SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,91,17745.0,0,0.00,0,None,0
2024-01-01,1,SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,120,27600.0,0,0.00,0,None,0
2024-01-01,1,SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,185,51615.0,0,0.00,0,None,0
2024-01-01,1,SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,147,24255.0,0,0.00,0,None,0
2024-01-01,1,SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,134,18760.0,0,0.00,0,None,0
2024-01-01,1,SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,222,29248.5,1,0.15,0,None,0
2024-01-01,1,SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,75,14925.0,0,0.00,0,None,0
2024-01-08,2,SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,127,76073.0,0,0.00,0,None,0
2024-01-08,2,SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,191,83085.0,0,0.00,0,None,0
2024-01-08,2,SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,219,36299.25,1,0.15,0,None,3
2024-01-08,2,SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,114,31350.0,0,0.00,0,None,0
2024-01-08,2,SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,231,57519.0,0,0.00,0,None,0
2024-01-08,2,SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,116,41760.0,0,0.00,0,None,0
2024-01-08,2,SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,121,58080.0,0,0.00,0,None,0
2024-01-08,2,SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,95,52155.0,0,0.00,0,None,0
2024-01-08,2,SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,95,20900.0,0,0.00,0,None,0
2024-01-08,2,SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,151,12835.0,0,0.00,0,None,0
2024-01-08,2,SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,93,24900.75,1,0.15,0,None,0
2024-01-08,2,SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,81,34020.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,177,33453.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,88,30712.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,200,19800.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,33,19767.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,124,9920.0,0,0.00,0,None,0
2024-01-08,2,SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,51,22440.0,0,0.00,0,None,0
2024-01-08,2,SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,141,35835.15,1,0.15,0,None,0
2024-01-08,2,SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,159,33390.0,0,0.00,0,None,0
2024-01-08,2,SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,152,68248.0,0,0.00,0,None,0
2024-01-08,2,SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,234,17702.1,1,0.15,0,None,0
2024-01-08,2,SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,33,9405.0,0,0.00,0,None,0
2024-01-08,2,SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,127,21050.25,1,0.15,0,None,3
2024-01-08,2,SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,168,38640.0,0,0.00,0,None,0
2024-01-08,2,SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,164,45756.0,0,0.00,0,None,0
2024-01-08,2,SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,77,12705.0,0,0.00,0,None,0
2024-01-08,2,SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,118,16520.0,0,0.00,0,None,0
2024-01-08,2,SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,166,25730.0,0,0.00,0,None,0
2024-01-08,2,SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,114,22686.0,0,0.00,0,None,0
2024-01-15,3,SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,217,129983.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,253,110055.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,138,26910.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,222,61050.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,231,57519.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,157,56520.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,181,86880.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,10,5490.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,43,9460.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,96,6936.0,1,0.15,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,45,14175.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,102,36414.0,1,0.15,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,170,32130.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,82,24325.3,1,0.15,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,166,16434.0,0,0.00,1,Republic Day Mega Sale,0
2024-01-15,3,SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,153,77899.95,1,0.15,1,Republic Day Mega Sale,0
